x,y,d,t
37.51842204,127.12917515,2021/04/20,13:20:10
37.51832657,127.1292171,2021/04/20,13:20:15
37.51824127,127.12926869,2021/04/20,13:20:20
37.5181559,127.12934608,2021/04/20,13:20:25
37.5181559,127.12934608,2021/04/20,13:20:25
37.5181559,127.12934608,2021/04/20,13:20:25
37.5181559,127.12934608,2021/04/20,13:20:25
37.5181559,127.12934608,2021/04/20,13:20:25
37.51805485,127.12940803,2021/04/20,13:20:30
37.51797605,127.12946397,2021/04/20,13:20:34
37.51788437,127.12954547,2021/04/20,13:20:39
37.51781076,127.12961129,2021/04/20,13:20:43
37.51773574,127.1297102,2021/04/20,13:20:48
37.51766124,127.12980492,2021/04/20,13:20:53
37.51760892,127.12992186,2021/04/20,13:20:58
37.51756145,127.13004193,2021/04/20,13:21:03
37.51750414,127.13015459,2021/04/20,13:21:08
37.51746121,127.13025588,2021/04/20,13:21:12
37.51740564,127.13037818,2021/04/20,13:21:17
37.51735491,127.13050123,2021/04/20,13:21:22
37.51729909,127.13061533,2021/04/20,13:21:27
37.51724069,127.13073452,2021/04/20,13:21:32
37.5171893,127.13085946,2021/04/20,13:21:37
37.51714516,127.13095956,2021/04/20,13:21:41
37.51710009,127.13108806,2021/04/20,13:21:46
37.51704573,127.13121047,2021/04/20,13:21:51
37.51704573,127.13121047,2021/04/20,13:21:51
37.51704573,127.13121047,2021/04/20,13:21:51
37.51704573,127.13121047,2021/04/20,13:21:51
37.51704573,127.13121047,2021/04/20,13:21:51
37.51699869,127.13133366,2021/04/20,13:21:56
37.51695221,127.1314569,2021/04/20,13:22:01
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.51692779,127.13156642,2021/04/20,13:22:06
37.516751,127.13208462,2021/04/20,13:22:25
37.51676124,127.13220427,2021/04/20,13:22:29
37.51669252,127.13230532,2021/04/20,13:22:33
37.51669252,127.13230532,2021/04/20,13:22:33
37.51669252,127.13230532,2021/04/20,13:22:33
37.51669252,127.13230532,2021/04/20,13:22:33
37.51660627,127.13239697,2021/04/20,13:22:37
37.51660627,127.13239697,2021/04/20,13:22:37
37.51660627,127.13239697,2021/04/20,13:22:37
37.51660627,127.13239697,2021/04/20,13:22:37
37.51652363,127.13248483,2021/04/20,13:22:41
37.51645259,127.13257502,2021/04/20,13:22:45
37.51639502,127.1326694,2021/04/20,13:22:49
37.51634757,127.1327768,2021/04/20,13:22:54
37.51629479,127.13288277,2021/04/20,13:22:59
37.51624437,127.13299891,2021/04/20,13:23:04
37.51619011,127.13311018,2021/04/20,13:23:09
37.51612364,127.13321123,2021/04/20,13:23:14
37.51604299,127.13330098,2021/04/20,13:23:19
37.51595982,127.13338986,2021/04/20,13:23:24
37.51595982,127.13338986,2021/04/20,13:23:24
37.51595982,127.13338986,2021/04/20,13:23:24
37.51595982,127.13338986,2021/04/20,13:23:24
37.51588113,127.1334493,2021/04/20,13:23:28
37.51577342,127.13348248,2021/04/20,13:23:33
37.51567705,127.13353048,2021/04/20,13:23:38
37.51557608,127.13357728,2021/04/20,13:23:43
37.51557608,127.13357728,2021/04/20,13:23:43
37.51557608,127.13357728,2021/04/20,13:23:43
37.51557608,127.13357728,2021/04/20,13:23:43
37.51548958,127.13362022,2021/04/20,13:23:47
